date,sleep_hours,workout_minutes,social_interaction_minutes,energy_level,mood,screen_time_minutes,sleep_quality,rainfall_mm,sunshine_hours
2024-05-17 22:15:25.239581,5.09,24,110,5,stressed,326,5,92.58,1.11
2024-05-16 22:15:25.239581,5.66,38,28,3,sad,249,6,83.28,2.17
2024-05-15 22:15:25.239581,4.75,19,16,1,stressed,350,4,39.13,3.45
2024-05-14 22:15:25.239581,5.95,3,113,3,angry,256,1,44.54,0.71
2024-05-13 22:15:25.239581,6.45,99,285,9,content,226,7,38.83,3.73
2024-05-12 22:15:25.239581,6.32,78,149,7,content,136,9,73.54,8.93
2024-05-11 22:15:25.239581,6.2,38,100,6,anxious,414,4,22.63,4.61
2024-05-10 22:15:25.239581,6.33,100,241,7,content,64,7,32.53,4.9
2024-05-09 22:15:25.239581,6.89,9,88,5,angry,299,2,69.9,2.06
2024-05-08 22:15:25.239581,5.52,15,98,6,anxious,335,5,96.9,10.2
2024-05-07 22:15:25.239581,7.15,102,124,8,excited,70,1,51.16,10.41
2024-05-06 22:15:25.239581,4.64,57,45,1,depressed,376,6,48.98,8.35
2024-05-05 22:15:25.239581,5.51,57,76,6,angry,410,4,98.58,6.95
2024-05-04 22:15:25.239581,7.51,39,255,10,relaxed,133,10,44.58,6.71
2024-05-03 22:15:25.239581,8.04,53,197,8,excited,91,5,20.55,8.48
2024-05-02 22:15:25.239581,6.57,36,273,7,relaxed,215,8,26.25,3.25
2024-05-01 22:15:25.239581,6.62,7,117,1,angry,465,6,74.97,7.71
2024-04-30 22:15:25.239581,8.24,32,272,10,happy,182,4,19.95,3.62
2024-04-29 22:15:25.239581,8.63,72,133,9,content,98,7,65.41,11.51
2024-04-28 22:15:25.239581,5.24,30,113,1,bored,470,10,12.7,10.59
2024-04-27 22:15:25.239581,7.92,71,175,10,content,87,9,53.92,2.83
2024-04-26 22:15:25.239581,5.18,18,43,1,angry,323,4,23.3,0.99
2024-04-25 22:15:25.239581,8.76,118,140,10,excited,157,4,6.45,4.24
2024-04-24 22:15:25.239581,6.84,113,151,9,excited,74,6,91.91,6.66
2024-04-23 22:15:25.239581,6.96,1,86,4,depressed,409,5,25.54,7.86
2024-04-22 22:15:25.239581,5.36,1,3,1,depressed,428,2,66.86,11.93
2024-04-21 22:15:25.239581,6.39,69,134,8,excited,114,3,65.01,2.68
2024-04-20 22:15:25.239581,7.68,59,290,9,happy,131,3,50.8,5.74
2024-04-19 22:15:25.239581,4.69,37,112,1,anxious,349,5,7.33,11.98
2024-04-18 22:15:25.239581,5.9,43,44,6,bored,425,10,68.73,7.46
2024-04-17 22:15:25.239581,6.09,118,177,7,excited,112,3,50.53,10.76
2024-04-16 22:15:25.239581,7.71,44,188,10,happy,197,5,67.25,4.3
2024-04-15 22:15:25.239581,8.93,76,212,9,relaxed,120,8,23.24,3.83
2024-04-14 22:15:25.239581,7.45,42,208,10,content,224,10,10.43,10.99
2024-04-13 22:15:25.239581,5.84,18,117,4,angry,318,2,26.35,8.85
2024-04-12 22:15:25.239581,8.41,102,231,9,content,85,8,51.25,2.52
2024-04-11 22:15:25.239581,6.44,70,150,7,happy,216,5,7.91,4.4
2024-04-10 22:15:25.239581,4.56,37,53,3,sad,359,4,22.05,9.32
2024-04-09 22:15:25.239581,6.65,35,168,7,excited,211,1,91.29,0.99
2024-04-08 22:15:25.239581,6.33,69,164,7,happy,134,6,37.9,1.45
2024-04-07 22:15:25.239581,5.17,24,51,2,bored,385,10,96.98,4.28
2024-04-06 22:15:25.239581,6.14,80,147,7,excited,94,3,11.46,1.0
2024-04-05 22:15:25.239581,6.13,3,34,1,angry,430,5,75.05,10.48
2024-04-04 22:15:25.239581,4.99,39,77,1,anxious,274,4,55.33,9.07
2024-04-03 22:15:25.239581,7.39,79,166,9,content,174,7,11.55,10.53
2024-04-02 22:15:25.239581,6.85,18,40,5,angry,307,5,39.2,2.03
2024-04-01 22:15:25.239581,5.44,57,63,6,stressed,265,4,66.44,9.72
2024-03-31 22:15:25.239581,5.27,39,28,6,stressed,269,3,10.85,4.8
2024-03-30 22:15:25.239581,6.71,54,11,4,anxious,249,5,96.51,0.47
2024-03-29 22:15:25.239581,4.39,12,17,3,sad,462,3,16.18,1.91
2024-03-28 22:15:25.239581,5.33,11,9,3,bored,280,10,88.25,2.62
2024-03-27 22:15:25.239581,4.49,54,117,2,anxious,401,2,86.4,3.48
2024-03-26 22:15:25.239581,6.4,2,49,3,stressed,295,2,44.21,8.49
2024-03-25 22:15:25.239581,8.36,93,288,9,happy,207,6,5.05,9.69
2024-03-24 22:15:25.239581,6.97,54,5,4,sad,389,1,21.87,0.21
2024-03-23 22:15:25.239581,6.94,13,13,4,bored,424,7,2.71,4.0
2024-03-22 22:15:25.239581,4.48,22,90,2,depressed,346,3,30.82,9.84
2024-03-21 22:15:25.239581,4.66,59,27,4,angry,398,5,37.85,11.79
2024-03-20 22:15:25.239581,4.3,20,53,2,angry,363,3,78.73,11.35
2024-03-19 22:15:25.239581,8.74,83,109,8,happy,96,5,3.11,6.72
2024-03-18 22:15:25.239581,6.22,29,56,5,sad,437,4,93.04,9.75
2024-03-17 22:15:25.239581,4.11,43,4,2,angry,430,5,97.25,10.98
2024-03-16 22:15:25.239581,6.74,61,237,9,happy,193,4,67.25,9.6
2024-03-15 22:15:25.239581,6.62,106,139,10,content,219,9,51.15,2.59
2024-03-14 22:15:25.239581,4.45,39,90,6,bored,353,7,38.62,10.77
2024-03-13 22:15:25.239581,5.33,23,54,1,sad,437,2,83.28,2.35
2024-03-12 22:15:25.239581,7.68,60,201,9,excited,212,1,16.02,3.72
2024-03-11 22:15:25.239581,4.0,28,75,6,anxious,397,5,23.16,11.23
2024-03-10 22:15:25.239581,8.76,114,182,9,content,83,8,32.12,2.97
2024-03-09 22:15:25.239581,4.37,24,32,2,bored,385,10,36.97,4.85
2024-03-08 22:15:25.239581,4.43,24,95,5,sad,308,2,6.52,4.29
2024-03-07 22:15:25.239581,5.91,6,83,5,sad,349,2,93.34,7.07
2024-03-06 22:15:25.239581,5.09,30,100,1,sad,343,3,24.39,1.11
2024-03-05 22:15:25.239581,4.67,42,78,5,anxious,262,3,90.28,9.33
2024-03-04 22:15:25.239581,7.24,57,181,9,excited,222,1,31.88,9.21
2024-03-03 22:15:25.239581,8.75,95,224,9,content,211,9,10.23,10.06
2024-03-02 22:15:25.239581,5.28,35,47,2,stressed,465,5,93.59,5.95
2024-03-01 22:15:25.239581,5.79,59,8,5,bored,362,8,0.17,6.27
2024-02-29 22:15:25.239581,7.86,49,124,10,excited,93,1,22.5,3.72
2024-02-28 22:15:25.239581,8.44,32,171,10,content,103,8,44.39,3.91
2024-02-27 22:15:25.239581,4.41,2,48,6,angry,295,4,55.3,4.01
2024-02-26 22:15:25.239581,6.37,51,61,4,depressed,306,6,47.34,1.67
2024-02-25 22:15:25.239581,8.71,65,275,8,relaxed,113,8,83.22,8.52
2024-02-24 22:15:25.239581,6.13,88,290,8,content,193,8,56.33,4.15
2024-02-23 22:15:25.239581,6.47,1,111,2,depressed,405,6,6.82,8.75
2024-02-22 22:15:25.239581,7.06,105,276,9,relaxed,180,9,74.83,1.99
2024-02-21 22:15:25.239581,6.91,59,61,2,stressed,258,4,61.55,2.7
2024-02-20 22:15:25.239581,6.92,43,257,10,happy,205,2,75.85,9.73
2024-02-19 22:15:25.239581,5.3,6,93,5,depressed,408,1,84.81,0.13
2024-02-18 22:15:25.239581,8.42,66,113,7,excited,220,5,29.85,4.95
2024-02-17 22:15:25.239581,5.49,52,31,4,anxious,426,4,41.66,6.38
2024-02-16 22:15:25.239581,6.27,69,257,10,relaxed,172,9,82.04,1.87
2024-02-15 22:15:25.239581,6.27,49,106,1,depressed,391,3,31.6,4.59
2024-02-14 22:15:25.239581,6.02,44,107,1,anxious,307,4,3.62,0.16
2024-02-13 22:15:25.239581,6.14,17,98,4,stressed,286,5,98.18,8.13
2024-02-12 22:15:25.239581,6.78,47,113,6,bored,437,8,15.38,3.52
2024-02-11 22:15:25.239581,4.4,51,33,1,anxious,443,3,75.0,9.92
2024-02-10 22:15:25.239581,5.66,28,6,6,sad,278,6,0.9,5.59
2024-02-09 22:15:25.239581,8.26,111,142,8,relaxed,212,8,39.15,5.4
2024-02-08 22:15:25.239581,8.93,51,213,7,happy,167,5,6.59,8.68
2024-02-07 22:15:25.239581,7.86,55,295,10,happy,137,2,90.05,11.62
2024-02-06 22:15:25.239581,8.45,78,142,10,happy,177,3,87.3,1.91
2024-02-05 22:15:25.239581,6.04,56,10,5,stressed,265,2,92.72,6.17
2024-02-04 22:15:25.239581,6.38,36,288,9,happy,113,1,92.18,4.72
2024-02-03 22:15:25.239581,4.32,47,77,3,stressed,467,6,73.72,9.92
2024-02-02 22:15:25.239581,6.27,37,9,1,angry,351,6,2.85,9.95
2024-02-01 22:15:25.239581,7.98,90,87,7,relaxed,60,10,29.4,0.5
2024-01-31 22:15:25.239581,4.07,10,34,5,anxious,446,6,68.11,3.48
2024-01-30 22:15:25.239581,6.33,10,45,2,bored,360,7,20.05,3.31
2024-01-29 22:15:25.239581,7.62,108,229,8,relaxed,203,10,55.18,4.44
2024-01-28 22:15:25.239581,8.74,101,203,9,relaxed,107,7,79.92,8.95
2024-01-27 22:15:25.239581,5.4,25,70,2,depressed,401,2,99.66,10.1
2024-01-26 22:15:25.239581,4.41,4,83,5,stressed,432,6,86.09,9.22
